,main_dest,sub_dest
3840,malaysia,"[94046.0, ['pangkor', 'laut', 'resort']]"
3862,malaysia,"[94718.0, ['teluk', 'duyung', 'penang']]"
3868,malaysia,"[96100.0, ['hopping']]"
3871,malaysia,"[89588.0, ['malaysia']]"
3873,malaysia,"[91833.0, ['langkawi']]"
3875,malaysia,"[94029.0, ['india']]"
3882,malaysia,"[96066.0, ['resort']]"
3883,malaysia,"[96178.0, ['day']]"
3893,pondicherry,"[97984.0, ['paradise', 'chunnambar', 'house']]"
3896,pondicherry,"[97988.0, ['bicycle']]"
3901,pondicherry,"[88976.0, ['pondicherry']]"
3903,"pune,mumbai","[91717.0, ['tapola']]"
3905,"pune,mumbai","[91719.0, ['karnala']]"
3911,bangkok,"[91857.0, []]"
3917,bangkok,"[94152.0, []]"
3918,bangkok,"[94153.0, []]"
3919,bangkok,"[94155.0, ['massage']]"
3922,bangkok,"[89229.0, ['hangover']]"
4027,phuket,"[91984.0, ['shore', 'katathani']]"
4032,phuket,"[91989.0, ['radisson', 'blu', 'plaza', 'phuket']]"
4034,phuket,"[91991.0, ['centara', 'karon', 'resort', 'phuket']]"
4036,phuket,"[96937.0, ['floating', 'koh', 'panyee']]"
4038,phuket,"[96939.0, ['james', 'bond']]"
4043,phuket,"[96945.0, ['fantasea']]"
4059,"mumbai,pune","[92023.0, ['prabalgad']]"
4066,"mumbai,pune","[92030.0, ['harishchandragad']]"
4067,"mumbai,pune","[92570.0, ['peak']]"
4068,"india,north","[92219.0, ['ambubachi', 'mela']]"
4071,"india,north","[92223.0, ['nghah', 'lou', 'dawr']]"
4072,"india,north","[92225.0, ['secret', 'tunnels', 'talatal', 'ghar']]"
4075,"india,north","[92229.0, ['mawphlang']]"
4076,"india,north","[92230.0, ['assam', 'largest', 'smallest']]"
4082,kasol,"[92513.0, ['kasol']]"
4086,ahmedabad,"[92299.0, ['sabarmati', 'ashram']]"
4090,ahmedabad,"[93798.0, ['kensville', 'golf', 'resort']]"
4109,ahmedabad,"[97661.0, ['iskcon']]"
4110,ahmedabad,"[97662.0, ['swaminarayan']]"
4112,ahmedabad,"[97664.0, ['sardar', 'vallabhbhai', 'patel']]"
4115,ahmedabad,"[97667.0, ['exhibits', 'sanskar', 'kendra', 'ahmedabad']]"
4116,ahmedabad,"[97668.0, ['utensils', 'different', 'vechaar']]"
4121,ahmedabad,"[90815.0, ['jama', 'masjid']]"
4124,ahmedabad,"[96066.0, ['resort']]"
4135,jaipur,"[92316.0, ['rani', 'sisodia']]"
4137,jaipur,"[92319.0, ['jaipur']]"
4139,jaipur,"[92321.0, ['step', 'well', 'abhaneri']]"
4162,dubai,"[92363.0, ['emirates']]"
4164,dubai,"[92365.0, ['spice', 'souk']]"
4171,dubai,"[93123.0, ['sheikh', 'saeed', 'al', 'maktoum', 'house']]"
4173,dubai,"[93125.0, ['dubai', 'creek']]"
4175,dubai,"[93127.0, ['dubai']]"
4179,dubai,"[93885.0, ['kebab']]"
4188,dubai,"[93898.0, ['bread']]"
4190,dubai,"[93901.0, ['knafeh']]"
4191,dubai,"[94612.0, []]"
4203,dubai,"[97000.0, ['dubai']]"
4209,dubai,"[93182.0, ['kebab']]"
4212,dubai,"[93966.0, ['dubai']]"
4219,sikkim,"[92379.0, ['pass']]"
4220,sikkim,"[92380.0, ['yumthang']]"
4221,sikkim,"[92381.0, ['ravangla']]"
4235,"delhi,india","[92480.0, ['india', 'gate']]"
4237,"delhi,india","[92482.0, ['dilli', 'haat']]"
4243,"delhi,india","[94029.0, ['india']]"
4246,munnar,"[92615.0, ['aranyaka', 'resort']]"
4258,munnar,"[97042.0, ['munnar']]"
4260,munnar,"[97181.0, ['drive']]"
4266,munnar,"[95890.0, ['munnar']]"
4268,munnar,"[96465.0, ['munnar']]"
4272,alleppey,"[96737.0, ['alappuzha']]"
4274,alleppey,"[96739.0, ['andhakaranazhi']]"
4275,alleppey,"[96740.0, ['krishna']]"
4278,alleppey,"[96744.0, ['karumadi']]"
4279,alleppey,"[96745.0, ['lighthouse', 'alleppey']]"
4280,alleppey,"[96746.0, ['krishnapuram']]"
4281,alleppey,"[97140.0, ['el', 'oceano', 'villa', 'retreat']]"
4286,alleppey,"[97146.0, ['ramada']]"
4287,alleppey,"[97147.0, ['raheem', 'residency', 'alleppey']]"
4289,alleppey,"[97162.0, ['spa']]"
4291,alleppey,"[97167.0, []]"
4294,alleppey,"[94930.0, ['resort']]"
4297,malana,"[92815.0, ['camera']]"
4310,istanbul,"[93103.0, ['jewelry']]"
4313,istanbul,"[93106.0, ['items']]"
4326,istanbul,"[93444.0, ['topkapi']]"
4330,istanbul,"[93448.0, ['changa']]"
4337,istanbul,"[93455.0, ['kanyon', 'istanbul']]"
4353,"goa,festivals","[93282.0, ['sao', 'joao']]"
4356,"goa,festivals","[88975.0, ['goa']]"
4359,"goa,festivals","[92004.0, ['christmas']]"
4368,spain,"[93329.0, ['colorful', 'costa', 'galicia']]"
4369,spain,"[93330.0, ['alicante']]"
4373,spain,"[93425.0, ['santillana', 'del', 'mar']]"
4374,spain,"[93426.0, ['burgos']]"
4377,spain,"[93429.0, ['seville']]"
4385,spain,"[93674.0, ['costa', 'brava']]"
4389,spain,"[93678.0, ['great', 'cordoba']]"
4392,spain,"[93681.0, ['white']]"
4404,"new,zealand","[93359.0, ['rotorua', 'lava', 'lines']]"
4414,"new,zealand","[94324.0, ['bioluminescent', 'mosquito', 'bay']]"
4415,"new,zealand","[94325.0, ['wharariki', 'south']]"
4421,"new,zealand","[94331.0, ['piha']]"
4426,"new,zealand","[94336.0, ['ngarunui', 'north']]"
4427,"new,zealand","[94337.0, ['coromandel', 'peninsula']]"
4429,"new,zealand","[94339.0, ['takou', 'bay', 'north']]"
4439,"new,zealand","[94630.0, ['wanaka']]"
4443,"new,zealand","[96177.0, ['bay']]"
4444,"new,zealand","[96179.0, ['rotorua']]"
4446,"new,zealand","[98102.0, ['waiheke']]"
4473,sydney,"[93391.0, ['bondi']]"
4475,sydney,"[93393.0, ['manly']]"
4476,sydney,"[93394.0, ['darling', 'harbor']]"
4479,sydney,"[93397.0, ['featherdale']]"
4480,sydney,"[93399.0, ['sydney']]"
4499,australia,"[93496.0, ['kakadu']]"
4503,australia,"[93502.0, ['harbor']]"
4505,australia,"[93504.0, []]"
4511,australia,"[93510.0, ['melbourne']]"
4513,australia,"[93512.0, ['pitt']]"
4519,australia,"[93907.0, ['crown']]"
4522,australia,"[93910.0, ['longitude']]"
4524,australia,"[93912.0, ['lilianfels', 'blue', 'resort', 'spa']]"
4526,australia,"[93914.0, ['surfer', 'paradise', 'marriott', 'resort', 'spa']]"
4528,australia,"[93916.0, ['broome', 'resort']]"
4541,australia,"[94682.0, ['wineglass', 'bay']]"
4549,australia,"[95793.0, ['great']]"
4554,australia,"[97293.0, ['great', 'barrier', 'reef']]"
4562,australia,"[93617.0, ['great', 'barrier', 'reef']]"
4563,australia,"[94349.0, ['blue']]"
4567,australia,"[97603.0, ['opera', 'house']]"
4577,perth,"[93628.0, []]"
4579,perth,"[93631.0, ['perth', 'mint']]"
4600,perth,"[93736.0, ['rides']]"
4601,perth,"[97831.0, ['universal']]"
4606,melbourne,"[93756.0, ['dandenong']]"
4619,melbourne,"[94321.0, ['melbourne', 'cricket', 'ground']]"
4620,melbourne,"[94322.0, ['dandenong']]"
4626,melbourne,"[94747.0, []]"
4627,melbourne,"[94748.0, ['st', 'kilda']]"
4629,melbourne,"[94752.0, ['melbourne']]"
4640,"abu,dhabi","[94197.0, ['mushrif']]"
4643,"abu,dhabi","[94200.0, []]"
4646,"abu,dhabi","[94204.0, []]"
4649,"abu,dhabi","[97210.0, ['abu', 'dhabi']]"
4652,nagpur,"[94209.0, ['amba', 'khori']]"
4671,brisbane,"[94309.0, ['met']]"
4675,brisbane,"[94313.0, ['brisbane', 'powerhouse']]"
4683,chandigarh,"[97187.0, []]"
4685,chandigarh,"[97189.0, ['barog']]"
4716,paris,"[94516.0, []]"
4719,paris,"[96357.0, ['nice']]"
4721,paris,"[92719.0, ['paris']]"
4741,"south,africa","[94606.0, ['johannesburg']]"
4752,"south,africa","[96182.0, ['queenstown']]"
4753,"south,africa","[98103.0, ['bay']]"
4757,switzerland,"[94670.0, ['matterhorn']]"
4759,switzerland,"[94672.0, ['swiss']]"
4764,switzerland,"[95159.0, ['saas', 'fee']]"
4775,switzerland,"[97226.0, ['interlaken']]"
4779,switzerland,"[96248.0, ['europe']]"
4785,jaisalmer,"[94836.0, ['salim', 'singh', 'ki', 'haveli']]"
4786,jaisalmer,"[94838.0, []]"
4793,ganga,"[94962.0, ['rocky']]"
4794,ganga,"[94963.0, []]"
4797,ganga,"[94974.0, ['ganga']]"
4798,ganga,"[94976.0, ['dharamshala', 'ganga']]"
4799,ganga,"[94977.0, ['rooms']]"
4803,ganga,"[94983.0, []]"
4807,darjeeling,"[95069.0, ['peace', 'pagoda']]"
4822,darjeeling,"[90963.0, ['white']]"
4827,"koh,samui,krabi","[95090.0, []]"
4832,rann,"[95178.0, ['facilities']]"
4838,"new,delhi","[95402.0, ['hardy', 'sandhu', 'noida']]"
4845,"festival,dubai","[95436.0, ['dubai', 'festival']]"
4846,"festival,dubai","[95437.0, ['dubai']]"
4848,"festival,dubai","[95439.0, ['tips', 'smart', 'dubai', 'festival']]"
4850,"festival,dubai","[95441.0, ['dubai', 'festival']]"
4851,"festival,dubai","[93962.0, ['dubai']]"
4854,"festival,dubai","[94347.0, ['dubai']]"
4855,"goa,new","[95462.0, ['goa']]"
4858,"goa,new","[95468.0, ['barbecue']]"
4868,"goa,new","[95788.0, ['new', 'curlies']]"
4869,"goa,new","[95789.0, ['new', 'leopard']]"
4871,"goa,new","[90329.0, ['goa']]"
4886,"calangute,goa","[95524.0, ['hotel']]"
4888,"calangute,goa","[95526.0, ['citrus', 'goa']]"
4894,"calangute,goa","[88975.0, ['goa']]"
4895,"calangute,goa","[90329.0, ['goa']]"
4899,"calangute,goa","[96066.0, ['resort']]"
4904,"mount,huashan","[95620.0, ['bravehearts', 'mount', 'huashan']]"
4909,"new,thailand","[89381.0, ['khao', 'san']]"
4920,"india,new","[95706.0, ['mcleodganj']]"
4925,"india,new","[88978.0, ['mumbai']]"
4936,"india,new","[94701.0, ['manali']]"
4939,"new,mumbai","[95714.0, ['new', 'lalit', 'mumbai']]"
4948,"phuket,pattaya","[95911.0, ['phuket']]"
4949,"phuket,pattaya","[95914.0, ['phuket', 'honeymooners']]"
4955,"phuket,pattaya","[95924.0, ['phuket']]"
4970,mahabaleshwar,"[95973.0, ['pratapgad']]"
4976,mahabaleshwar,"[95980.0, ['lodwick']]"
4987,mahabaleshwar,"[96959.0, ['bombay']]"
4992,mahabaleshwar,"[92570.0, ['peak']]"
4994,mahabaleshwar,"[96066.0, ['resort']]"
4996,"hong,kong","[96014.0, []]"
4999,"hong,kong","[96018.0, ['hidden', 'agenda']]"
5001,"hong,kong","[96020.0, ['seafood']]"
5004,"hong,kong","[96037.0, []]"
5013,"hong,kong","[96046.0, ['big', 'buddha']]"
5018,"hong,kong","[96457.0, ['antiques', 'hollywood']]"
5019,"hong,kong","[96458.0, ['mongkok', 'hong', 'kong']]"
5026,"hong,kong","[92570.0, ['peak']]"
5037,"south,goa","[96114.0, ['butterfly']]"
5047,"singapore,bali","[90574.0, ['bali']]"
5049,"singapore,bali","[91833.0, ['langkawi']]"
5057,kumarakom,"[96152.0, ['kumarakom', 'resort']]"
5061,kumarakom,"[96157.0, ['coconut', 'lagoon']]"
5063,kumarakom,"[96159.0, ['lakesong', 'kumarakom']]"
5064,kumarakom,"[96160.0, ['edassery', 'kayal', 'resort', 'kumarakom']]"
5066,kumarakom,"[96162.0, ['whispering', 'palms', 'kumarakom']]"
5073,kumarakom,"[96170.0, ['backwater', 'ripples']]"
5088,kumarakom,"[96462.0, ['taj']]"
5095,pattaya,"[89391.0, ['pattaya']]"
5096,pattaya,"[97610.0, ['botanical']]"
5111,gangtok,"[96238.0, ['pemayangtse', 'monastery', 'popular', 'gangtok']]"
5127,wayanad,"[96255.0, ['escape', 'dam']]"
5128,wayanad,"[96257.0, ['sanctuary']]"
5132,wayanad,"[90330.0, ['kerala']]"
5136,"koh,samui","[96262.0, ['four', 'seasons', 'resort', 'koh', 'samui']]"
5151,"koh,samui","[92808.0, ['grand']]"
5153,"koh,samui","[96066.0, ['resort']]"
5155,"koh,samui","[96398.0, ['bophut']]"
5160,thekkady,"[96335.0, ['sleepy']]"
5161,thekkady,"[96336.0, ['thekkady']]"
5172,thekkady,"[93736.0, ['rides']]"
5185,cochin,"[96433.0, ['gowreeswara', 'cherai']]"
5188,cochin,"[97068.0, ['vedanta', 'wake']]"
5198,cochin,"[97628.0, ['symphony', 'resort']]"
5206,"goa,north","[88975.0, ['goa']]"
5211,"jim,corbett","[96903.0, ['package']]"
5212,"jim,corbett","[97471.0, ['jim', 'corbett']]"
5214,"baga,goa","[96515.0, ['baga', 'resort']]"
5217,"baga,goa","[96519.0, ['chalston', 'resort', 'hotel']]"
5218,"baga,goa","[96520.0, ['lazy', 'lagoon']]"
5224,"baga,goa","[96527.0, ['nazri', 'resort', 'hotel']]"
5225,"baga,goa","[96528.0, ['hotel', 'viva', 'baga']]"
5228,"baga,goa","[96531.0, ['ronil', 'royale']]"
5232,"baga,goa","[96535.0, ['fab', 'hotel', 'baga', 'ii']]"
5233,"baga,goa","[96536.0, ['angelina', 'resort', 'baga']]"
5240,"baga,goa","[90329.0, ['goa']]"
5241,"baga,goa","[90638.0, ['cuba']]"
5251,"hong,kong,macau","[96577.0, ['macau', 'day']]"
5253,"hong,kong,macau","[96580.0, ['feeling', 'magic']]"
5258,"hong,kong,macau","[96178.0, ['day']]"
5261,"india,pakistan","[96593.0, ['cricket']]"
5263,"india,pakistan","[96595.0, ['sides', 'love', 'pampered']]"
5264,"india,pakistan","[96596.0, ['cuisines']]"
5270,"india,pakistan","[90324.0, ['soldiers']]"
5271,greece,"[96634.0, ['chania']]"
5274,greece,"[96637.0, ['greece']]"
5279,greece,"[89579.0, ['greece']]"
5280,greece,"[91212.0, ['santorini']]"
5281,greece,"[92034.0, ['greece']]"
5286,"india,festivals","[96651.0, ['makarsankranti']]"
5288,"india,festivals","[96653.0, ['fest']]"
5290,"india,festivals","[96656.0, ['bikaner', 'fest']]"
5300,"india,festivals","[90329.0, ['goa']]"
5306,"india,festivals","[92571.0, ['mount', 'abu']]"
5308,"india,festivals","[94029.0, ['india']]"
5309,"india,festivals","[94701.0, ['manali']]"
5314,kumbhalgarh,"[96693.0, ['kumbhalgarh']]"
5329,srinagar,"[96708.0, ['jamal', 'resort']]"
5331,srinagar,"[96710.0, ['swiss', 'hotel', 'kashmir', 'srinagar']]"
5335,srinagar,"[98004.0, ['srinagar']]"
5338,srinagar,"[92808.0, ['grand']]"
5339,srinagar,"[93027.0, ['kashmir']]"
5342,srinagar,"[93969.0, ['kashmir']]"
5344,srinagar,"[94930.0, ['resort']]"
5345,srinagar,"[96063.0, ['view']]"
5350,srinagar,"[96787.0, ['kashmir']]"
5351,"mount,abu","[96715.0, ['cama', 'resort']]"
5364,"mount,abu","[96066.0, ['resort']]"
5368,fiji,"[96751.0, ['yasawas']]"
5374,fiji,"[96759.0, ['likuliku', 'lagoon', 'resort']]"
5377,fiji,"[96762.0, ['radisson', 'blu', 'resort', 'fiji']]"
5378,fiji,"[96763.0, ['laucala', 'resort']]"
5380,fiji,"[96765.0, ['snorkeling', 'viti', 'levu']]"
5382,fiji,"[96767.0, ['tiger', 'beqa', 'lagoon']]"
5386,fiji,"[89378.0, ['tiger']]"
5409,kovalam,"[96867.0, ['kovalam']]"
5410,auli,"[97013.0, ['nanda', 'devi']]"
5420,roopkund,"[90520.0, ['roopkund']]"
5425,chittorgarh,"[97076.0, ['chittorgarh']]"
5426,chittorgarh,"[97078.0, []]"
5430,chittorgarh,"[95598.0, ['chittorgarh']]"
5442,macau,"[97100.0, ['macau']]"
5446,macau,"[93004.0, ['black']]"
5447,macau,"[97607.0, ['chinese']]"
5459,pushkar,"[97134.0, ['pushkar', 'resort']]"
5462,pushkar,"[97137.0, ['resort']]"
5487,ranthambore,"[97269.0, ['khem', 'vilas']]"
5492,ranthambore,"[96066.0, ['resort']]"
5495,kottayam,"[97352.0, ['nadukani']]"
5501,kottayam,"[97360.0, ['kumarakom', 'bird', 'sanctuary']]"
5518,"goa,north,south","[96209.0, ['goa']]"
5524,bermuda,"[97411.0, ['sulphur', 'marine', 'queen']]"
5530,rishikesh,"[97429.0, ['cradle', 'life', 'rishikesh']]"
5531,rishikesh,"[97430.0, ['gold', 'coast']]"
5533,rishikesh,"[97432.0, ['glasshouse', 'ganges']]"
5541,rishikesh,"[98154.0, []]"
5551,rishikesh,"[92493.0, ['rishikesh']]"
5554,dalhousie,"[97463.0, ['kalatop', 'reserve']]"
5555,dalhousie,"[97464.0, ['st.', 'francis', 'catholic']]"
5556,dalhousie,"[97465.0, ['panchpula', 'dalhousie']]"
5564,dalhousie,"[92586.0, ['dalhousie']]"
5565,udaipur,"[97502.0, ['rajputana']]"
5575,udaipur,"[97513.0, ['leela']]"
5579,udaipur,"[97635.0, ['ahar']]"
5584,udaipur,"[89440.0, ['udaipur']]"
5595,vadodara,"[97620.0, ['ancient', 'banyan', 'kabirwad']]"
5598,rameshwaram,"[97713.0, ['five', 'faced', 'hanuman']]"
5612,"kuala,lumpur","[89588.0, ['malaysia']]"
5615,"kuala,lumpur","[94803.0, ['top']]"
5621,"bir,billing","[90969.0, ['bir', 'billing']]"
5628,langkawi,"[97788.0, []]"
5629,langkawi,"[97789.0, ['taman', 'lagenda']]"
5634,langkawi,"[97794.0, ['pantai', 'kok']]"
5636,langkawi,"[96177.0, ['bay']]"
5640,mussoorie,"[97927.0, []]"
5641,mussoorie,"[97928.0, []]"
5649,mussoorie,"[98169.0, ['hotel', 'mayur', 'mussoorie']]"
5652,"kanyakumari,kashmir","[92582.0, ['kanyakumari']]"
5654,"kanyakumari,kashmir","[96866.0, ['kanyakumari']]"
5663,kasauli,"[97999.0, ['toy', 'dharampur', 'barog']]"
5669,amsterdam,"[98014.0, []]"
5671,amsterdam,"[98019.0, ['sugar', 'factory']]"
5676,bikaner,"[98077.0, ['junagarh']]"
5680,bikaner,"[98082.0, ['bhandasar', 'jain', 'red', 'sandstone', 'white', 'marble']]"
5681,bikaner,"[98084.0, ['shri', 'laxminath', 'one', 'bikaner']]"
5682,bikaner,"[98085.0, ['shiv', 'bari']]"
5685,bikaner,"[98088.0, ['thar', 'bikaner']]"
5687,bikaner,"[93005.0, ['white']]"