main_dest,sub_dest
kerala,"[[102613, ['bathing', 'kodanad']], [102614, ['alleppey']], [102615, ['watch', 'neelakurinji', 'bloom', 'munnar']], [102616, []], [102617, ['veli']], [102618, ['shikara', 'alappuzha']], [102619, ['snake', 'races']], [102620, []], [102621, ['take', 'spice']], [102622, ['coffee', 'wayanad']], [102623, ['architecture', 'kochi']], [102624, ['watch', 'theyyam']], [102625, ['munnar']], [102626, ['bird', 'watching', 'kumarakom']], [102627, ['arabian']], [102628, ['periyar', 'jungle']], [102629, ['get', 'drenched']], [102630, ['bananas']], [102631, ['kovalam']], [102632, ['idukki']], [102738, ['marari']], [102739, ['lemon', 'vembanad', 'kerala']], [102740, ['nova', 'holidays']], [102741, ['kayaloram']], [102742, ['mahindra', 'munnar']], [102743, ['devonshire', 'greens']], [102744, ['westwood', 'riverside']], [102745, ['taj', 'vivanta']], [102746, ['poovar']], [102747, ['abad', 'harmonia', 'ayurveda']], [102748, ['nirmaaya', 'retreats', 'cardamom']], [102749, ['carmelia']], [102750, ['mayapott']], [102751, ['windflower']], [102752, ['wayanad']], [102753, ['banasura']], [102901, ['wayanad']]]"
,"[[102633, ['scratch', 'map']], [102634, ['bag']], [102635, ['passport', 'covers']], [102636, ['instant', 'messenger', 'bag']], [102637, ['personalised', 'airport', 'departures']], [102638, ['iphone', 'camera', 'lens', 'system']], [102639, ['map', 'phone', 'case']], [102640, ['noise', 'cancelling', 'headphones']], [102641, ['wi', 'fi', 'detector', 'shirt']], [102642, ['stub', 'diary']], [102643, ['global', 'translator']], [102644, ['map', 'design', 'overnight', 'bag']], [102645, ['filtration', 'press']], [102646, ['swissbit', 'swiss', 'army']], [102647, ['neon', 'sign']], [102823, ['laponian', 'sweden']], [102824, ['das', 'ottensheim', 'austria']], [102825, ['de', 'vrouwe', 'van', 'stavoren', 'netherlands']], [102826, ['ice', 'sweden']], [102827, ['capsule', 'tokyo', 'japan']], [102828, ['karostas', 'cietums', 'leipaja', 'latvia']], [102829, ['propeller', 'berlin']], [102830, ['devjibhais', 'kooba', 'eco', 'gujarat', 'india']], [102831, ['everland', 'paris']], [102832, ['kokopellis', 'mexico']], [102833, ['jumbo', 'stockholm']], [102834, ['palacio', 'de', 'sal', 'bolivia']], [102835, ['jules', 'undersea']], [102836, ['galactic', 'space', 'outer']], [102859, ['rajasthan']], [102861, ['goa']], [102862, ['pondicherry']], [102863, ['andaman']], [102864, ['daman', 'diu']], [102865, ['lakshadweep']], [102866, ['thailand']], [102867, ['sihanoukville']], [102869, ['el', 'nido']], [102870, ['nha', 'trang', 'vietnam']], [102871, ['port', 'barton']], [102872, ['moalboal', 'cebu']], [102873, ['borneo']], [102874, ['gilli']], [102875, ['mekong', 'delta']], [102876, ['laos', 'luang', 'prabang']], [102897, ['pondicherry']], [102898, ['rann', 'kutch']], [102899, ['mumbai']], [102900, ['jaipur']], [102901, ['wayanad']], [102902, ['andaman']], [102924, ['istanbul']], [102925, ['greece']], [102926, ['madhya', 'pradesh']], [102927, ['portugal']], [102928, ['manipur']], [102930, ['jamaica']], [102970, ['naldhera', 'himachal', 'pradesh']], [102971, ['oberoi', 'amarvilas', 'agra']], [102972, ['chateau', 'dori', 'nasik']], [102973, ['gokarna', 'karnataka']], [102974, ['serai', 'chikmagalur', 'karnataka']], [102975, ['paro', 'bhutan']], [102976, ['bekal', 'kerala']], [102977, ['devi', 'garh', 'udaipur']], [103074, ['golden', 'myanmar']], [103075, ['trolltunga']], [103076, ['preikestolen', 'norway']], [103077, ['norway']], [103078, ['atlantic', 'ocean', 'atlanterhavsveien', 'norway']], [103079, ['victoria', 'falls']], [103080, ['half', 'yosemite']], [103081, ['grand', 'canyon']], [103082, ['gozo', 'cliffs', 'malta']], [103083, ['trift', 'switzerland']], [103084, ['aizhai', 'suspension', 'china']], [103085, ['walk', 'plank', 'mount', 'hua', 'china']], [103086, ['ukraine']], [103087, ['tsingy', 'de', 'bemaraha', 'madagascar']], [103088, ['gateway', 'valhalla', 'namaskaro', 'iceland']], [103089, ['grand', 'prismatic']], [103090, ['dallol']], [103091, ['boiling', 'dominica']], [103092, ['erta', 'ale']], [103093, ['door', 'hell', 'turkmenistan']], [103094, ['fire']], [103095, ['blue', 'russia']], [103096, ['truk', 'lagoon']], [103097, ['bolton', 'strid']], [103098, ['icy', 'pit', 'hell', 'gullfoss', 'iceland']], [103099, ['easter', 'chile']], [103100, ['snake', 'brazil']], [103101, ['socotra', 'yemen']], [103102, ['isola', 'la', 'gaiola', 'italy']], [103103, ['rabbit', 'japan']], [103104, ['sable', 'nova', 'scotia']], [103105, ['palmyra', 'north', 'pacific']], [103106, ['dolls', 'mexico']], [103107, ['vulcan', 'philippines']], [103108, ['christmas', 'ocean']], [103109, ['floating', 'peru']], [103110, ['great', 'pacific', 'garbage', 'patch']]]"
"bangkok,thailand","[[102648, ['tuk']], [102649, ['floating']], [102650, ['oriental']], [102651, ['chatuchak']], [102652, ['thai', 'show']], [102653, []], [102654, ['siam', 'paragon']], [102655, ['show']], [102656, ['khao', 'san']], [102657, ['wat', 'phra', 'kaew', 'bangkok']], [102658, ['lumphini']], [102659, []], [102660, ['vimanmek', 'teak', 'mansion', 'golden']], [102661, ['wat', 'pho']], [102662, ['dinner', 'grand', 'pearl']], [102663, ['wat', 'arun', 'riverside']], [102664, ['noodles']], [102665, ['chinatown']], [102666, ['pattaya']], [102667, ['bangkok']]]"
delhi,"[[102669, ['morni']], [102670, ['damdama']], [102671, ['murthal']], [102672, ['neemrana']], [102673, ['parwanoo']], [102674, ['bharatpur']], [102675, ['unchagaon']], [102676, ['mathura', 'vrindavan']], [102677, ['taj']], [102678, ['alwar']], [102679, ['kuchesar']], [102680, ['jaipur']], [102900, ['jaipur']]]"
mauritius,"[[102683, []], [102684, []], [102686, ['chamarel']], [102687, ['ile', 'aux', 'cerfs']], [102688, ['relish']], [102689, ['pamplemousses', 'botanical']], [102690, ['grand', 'bassin']], [102691, ['experience']], [102797, ['le', 'touessrok']], [102798, ['maradiva']], [102799, ['angsana', 'balaclava']], [102800, ['one', 'le', 'saint', 'g', 'ran']], [102801, ['oberoi', 'mauritius']], [102802, []], [102803, ['st', 'regis', 'mauritius']], [102804, ['le', 'telfair', 'golf']], [102805, ['lakaz', 'chamarel', 'exclusive']]]"
india,"[[102695, ['bheemeshwari']], [102696, ['hugli']], [102697, ['brahmaputra']], [102698, ['underwater', 'andamans']], [102699, ['kerala']], [102700, ['goa']], [102701, ['white', 'zanskar']], [102702, ['bhagirathi']], [102703, []], [102704, ['journey', 'mahakali']], [102705, ['goa']], [102706, ['mysore']], [102707, ['meghalaya']], [102708, ['dune', 'bashing', 'jaisalmer']], [102709, ['feed', 'crocodiles', 'mahabalipuram']], [102710, ['rishikesh']], [102711, ['kite', 'goa']], [102712, ['andaman']], [102714, ['ladakh']], [102715, ['white', 'rishikesh']], [102716, ['paragliding', 'manali']], [102717, ['matheran']], [102718, ['dudhsagar']], [102719, []], [102720, ['walking', 'andaman']], [102721, ['chennai']], [102722, ['camping', 'kullu']], [102723, ['bangalore']], [102725, ['ranthambore', 'rajasthan']], [102726, ['bengal', 'sunderbans', 'west']], [102727, ['jim', 'corbett', 'uttarakhand']], [102728, ['gir', 'gujarat']], [102729, ['bannerghatta', 'karnataka']], [102730, ['kaziranga', 'assam']], [102731, ['periyar', 'kerala']], [102732, ['bandhavgarh', 'madhya', 'pradesh']], [102733, ['hemis', 'jammu', 'kashmir']], [102734, ['great', 'himalayan', 'himachal', 'pradesh']], [102735, ['tadoba', 'maharashtra']], [102736, ['nanda', 'devi', 'uttarakhand']], [102737, ['khangchendzonga', 'sikkim']], [102765, ['taj', 'exotica', 'goa']], [102766, ['ramada', 'caravela', 'goa']], [102767, ['leela', 'kempinski', 'kovalam']], [102768, ['vivanta', 'taj', 'fishermans', 'cove', 'chennai']], [102769, ['blue', 'ocean', 'ratnagiri', 'maharashtra']], [102770, ['mayfair', 'palm', 'ganjam', 'orissa']], [102771, ['face', 'kovalam']], [102772, ['paradise', 'isle', 'karnataka']], [102773, ['radisson', 'blu', 'bay', 'mahabalipuram']], [102774, ['cherai', 'cochin', 'kerala']], [102775, ['barefoot', 'havelock', 'andaman', 'nicobar']], [102776, ['khyber', 'gulmarg']], [102777, ['wildflower', 'hall', 'himachal', 'pradesh']], [102778, ['nandadevi']], [102779, ['oberoi', 'cecil', 'shimla']], [102780, ['glenburn', 'darjeeling']], [102781, ['vivanta', 'taj', 'madikeri', 'coorg']], [102782, ['banasura', 'wayanad']], [102783, ['ri', 'kynjai', 'shillong']], [102784, ['vivanta', 'taj', 'view', 'dal', 'srinagar']], [102785, ['oberoi', 'amarvilas', 'agra']], [102786, ['oberoi', 'udaivilas', 'udaipur']], [102787, ['oberoi', 'rajvilas', 'jaipur']], [102788, ['leela', 'udaipur']], [102789, ['oberoi', 'gurgaon']], [102790, ['oberoi', 'mumbai']], [102791, ['taj', 'udaipur']], [102792, ['leela', 'ambience', 'gurgaon']], [102793, ['taj', 'mahal', 'mumbai']], [102794, ['leela', 'bangalore']], [102795, ['taj', 'falaknuma', 'hyderabad']], [102796, ['oberoi', 'bangalore']], [102847, ['daman', 'diu']], [102848, ['jaisalmer']], [102851, ['alleppey']], [102852, ['andaman']], [102853, ['darjeeling']], [102855, ['shimla']], [102856, ['kashmir']], [102978, ['experience', 'varanasi']], [102979, ['gokarna', 'karnataka']], [102980, ['across', 'thar', 'dessert', 'rajasthan']], [102981, ['sunderbans', 'west', 'bengal']], [102982, ['chandni', 'chowk', 'delhi']], [102983, ['paragliding', 'bir', 'billing', 'himachal', 'pradesh']], [102984, ['bhangarh', 'rajasthan']], [102985, ['experience', 'spiti', 'himachal', 'pradesh']], [102986, ['rishikesh']], [102987, ['cherrapunji']], [102988, ['nubra', 'leh', 'ladakh']], [102989, ['andaman', 'nicobar']], [102990, ['yumthang', 'sikkim']], [102991, ['roopkund', 'uttarakhand']], [102992, ['rann', 'kutch', 'gujarat']], [102993, ['golden', 'delhi', 'agra', 'jaipur']], [102994, ['delhi']], [102995, ['jaipur']], [102996, ['agra']], [102998, ['kashmir']], [102999, ['north', 'east']], [103001, ['andaman', 'nicobar']], [103002, ['haridwar', 'rishikesh']], [103003, ['kerala']], [103004, ['jim', 'corbett', 'nainital']], [103006, ['mumbai']], [103007, ['puri']], [103008, ['coorg', 'ooty', 'kodaikanal', 'south', 'india']], [103009, ['coorg']], [103010, ['ooty']], [103011, ['kodaikanal']], [102859, ['rajasthan']], [102861, ['goa']], [102863, ['andaman']], [102864, ['daman', 'diu']], [102898, ['rann', 'kutch']], [102899, ['mumbai']], [102900, ['jaipur']], [102901, ['wayanad']], [102902, ['andaman']], [102926, ['madhya', 'pradesh']], [102971, ['oberoi', 'amarvilas', 'agra']], [102973, ['gokarna', 'karnataka']]]"
"sri,lanka","[[102754, ['taprobane']], [102755, ['last']], [102757, ['jetwing', 'galle']], [102758, ['tangalle']], [102759, ['cape', 'weligama']], [102760, ['saman', 'secluded', 'beachfront']], [102761, ['fortress', 'koggala']], [102762, ['kingsbury', 'colombo']], [102763, ['era', 'jetwing', 'colonial']], [102764, ['balinese', 'architecture', 'serene', 'pavilions', 'wadduwa']]]"
taj,"[[102806, ['taj', 'udaipur']], [102807, ['taj', 'falaknuma', 'hyderabad']], [102808, ['umaid', 'bhawan', 'jodhpur']], [102809, ['taj', 'rambagh', 'jaipur']], [102810, ['taj', 'mahal', 'delhi']], [102811, ['taj', 'west', 'end', 'bangalore']], [102812, ['taj', 'mahal', 'mumbai']], [102899, ['mumbai']], [102900, ['jaipur']]]"
maldives,"[[102813, ['soneva', 'fushi', 'kunfunadhoo']], [102814, ['taj']], [102815, ['shangri', 'la', 'villingili']], [102816, ['four', 'seasons', 'maldives']], [102817, ['one', 'reethi', 'rah']], [102818, ['cocoa', 'como']], [102819, ['six', 'senses', 'laamu']], [102820, ['maldives']], [102821, ['centara', 'grand', 'maldives']], [102822, ['banyan', 'vabbinfaru']]]"
manali,"[[102837, ['solang']], [102838, ['span']], [102839, ['manu', 'allaya']], [102840, ['himalayan']], [102841, ['manali']], [102842, ['manali', 'white']], [102843, ['apple', 'country']], [102844, ['crescent']], [102845, ['banon', 'manali']], [102846, ['inn']]]"
"india,new","[[102877, ['goa']], [102878, ['bangalore']], [102879, ['mumbai']], [102880, ['delhi']], [102881, ['kolkata']], [102882, ['pondicherry']], [102883, ['gulmarg']], [102884, ['mcleodganj']], [102886, ['manali']], [102887, ['jaipur']], [102889, ['paradise', 'gokarna']], [102890, ['rann', 'kutch']], [102861, ['goa']], [102862, ['pondicherry']], [102897, ['pondicherry']], [102898, ['rann', 'kutch']], [102899, ['mumbai']], [102900, ['jaipur']]]"
visa,"[[102903, ['sri', 'lanka']], [102904, ['thailand']], [102905, ['maldives']], [102907, ['nepal']], [102908, ['bhutan']], [102909, ['seychelles']], [102910, ['indonesia']], [102912, ['hong', 'kong']], [102913, ['macau']], [102914, ['fiji']], [102915, ['jamaica']], [102916, ['kenya']], [102917, ['bolivia']], [102918, ['salvador', 'el']], [102919, ['madagascar']], [102920, ['laos']], [102921, ['cook']], [102922, ['nicaragua']], [102923, ['cape', 'verde']], [102866, ['thailand']], [102930, ['jamaica']]]"
party,"[[102931, ['vegas']], [102932, ['brazil']], [102933, ['ibiza']], [102934, ['amsterdam']], [102935, ['montreal']], [102936, ['macau']], [102937, ['germany']], [102938, ['tokyo']], [102939, ['goa']], [102861, ['goa']]]"
"hen,party","[[102940, ['bangkok']], [102941, ['colombo', 'shopaholics', 'paradise']], [102942, ['unwind', 'bhutan']], [102943, ['extreme', 'nepal']], [102944, ['goa', 'party', 'hub']], [102945, ['adrenaline', 'rush', 'rishikesh']], [102946, ['grandeur', 'jaisalmer']], [102947, ['country', 'nashik']], [102948, ['unspoiled', 'gokarna']], [102949, ['fran', 'aise', 'experience', 'pondicherry']], [102861, ['goa']], [102862, ['pondicherry']], [102897, ['pondicherry']]]"
"north,east","[[102950, ['one', 'horned', 'rhinoceros', 'kaziranga']], [102952, ['concert', 'ziro']], [102955, ['gorichen', 'peak']], [102956, ['nuranang', 'falls']], [102958, ['jaintia']], [102960, ['sandakphu']], [102961, ['serenity', 'peace', 'phodong']], [102962, ['solace', 'ravangla']], [102964, ['yak']], [102965, ['talatal', 'ghar']], [102966, ['bihu', 'festival']], [102967, ['majuli']], [102969, ['shilloi']]]"
"south,africa","[[103013, ['durban']], [103014, ['nelson', 'mandela', 'bay']], [103017, ['bloemfontein']], [103019, ['jacaranda', 'pretoria']], [103020, ['kimberley']], [103021, ['pietermaritzburg']], [103064, ['franschhoek']], [103065, ['queenstown']], [103066, ['route']], [103067, ['kwazulu', 'natal']], [103071, ['dullstroom']], [103073, ['swaziland']]]"
switzerland,"[[103022, ['lucerne']], [103023, ['interlaken']], [103025, ['geneva']], [103026, ['matterhorn']], [103027, ['zurich']], [103028, ['swiss']], [103029, ['chateau', 'de', 'chillon']], [103030, ['st', 'moritz']], [103031, ['bern']], [103032, ['rhine', 'falls']], [103206, ['switzerland']], [103207, ['switzerland']], [103209, ['switzerland']], [103210, []]]"
australia,"[[103033, ['bondi']], [103034, ['lizard']], [103035, ['byron']], [103036, ['mile']], [103037, ['mandalay', 'western', 'australia']], [103038, ['wineglass', 'bay']], [103039, ['noosa', 'sunshine', 'coast']], [103040, ['burleigh', 'heads']], [103041, []], [103042, ['whitehaven']], [103043, ['hyams']], [103044, ['monkey', 'mia']]]"
nepal,"[[103045, []], [103047, ['nagarkot']], [103048, []], [103049, ['mahendra', 'gufa']], [103050, ['lumbini']], [103052, ['thamel', 'area']], [103053, ['bhaktapur']]]"
malaysia,"[[103054, ['perhentian', 'kecil']], [103055, ['mantanani']], [103056, ['mataking']], [103057, ['rawa']], [103058, ['layang']], [103059, ['teluk', 'duyung', 'penang']], [103060, ['sibu', 'johor']], [103061, ['mabul']], [103062, ['pangkor']], [103063, ['sipadan']]]"
jaisalmer,"[[103111, ['jaisalmer']], [103112, ['bada', 'bagh']], [103113, ['patwon', 'ki', 'haveli']], [103114, ['salim', 'singh', 'ki', 'haveli']], [103115, ['sam', 'dunes']], [103116, []], [103117, []], [103118, ['sadar', 'bazaar']], [103119, ['silk', 'route']], [103120, ['sonaron', 'ka', 'baas']]]"
bhutan,"[[103121, []], [103123, ['thimphu']], [103125, ['gangtey']]]"
shimla,"[[103127, ['tunnel']], [103129, ['convent', 'jesus', 'mary', 'shimla']], [103130, ['indira', 'gandhi', 'medical', 'college']]]"
kasol,"[[103133, ['kasol']], [103134, ['kasol']]]"
spain,"[[103136, ['tenerife', 'canary']], [103137, ['madrid']], [103138, ['toledo']], [103139, ['spain']], [103140, ['colorful', 'costa', 'galicia']], [103141, ['alicante']], [103143, ['benidorm']], [103144, ['ibiza']], [103145, ['barcelona']]]"
"bhangarh,india","[[103146, ['bhangarh']], [103147, ['bhangarh']]]"
himachal,"[[103150, ['sunrise', 'way']], [103151, []], [103152, ['badolia', 'baba']], [103153, []], [103154, []], [103155, ['boating', 'ji']], [103156, []], [103157, ['suketi', 'fossil']]]"
bora,"[[103159, ['bora']], [103160, ['star', 'bora']], [103161, ['star', 'bora']], [103163, ['bora']], [103164, []], [103165, ['le', 'truck', 'bora']], [103167, []], [103168, ['bora']], [103169, ['bora']], [103170, ['bora']]]"
seychelles,"[[103171, ['star']], [103172, ['star']], [103173, ['star']]]"
finland,"[[103175, ['igloos']], [103176, ['kakslauttanen']], [103177, ['kakslauttanen', 'igloo']]]"
fiji,"[[103179, ['viti', 'levu']], [103180, ['mamanucas']], [103181, ['yasawas']], [103183, ['taveuni']], [103184, ['tokoriki']], [103185, ['kora', 'sun']], [103186, ['wakaya']], [103187, ['turtle']], [103188, ['likuliku', 'lagoon']], [103189, ['tadrai']], [103190, ['namale']], [103191, ['radisson', 'blu', 'fiji']], [103192, ['laucala']], [103193, ['vomo']], [103194, ['snorkeling', 'viti', 'levu']], [103195, ['waidroka']], [103196, ['beqa', 'lagoon']], [103197, ['navua']], [103198, ['major']]]"
"ice,alaska","[[103199, ['ice']], [103200, ['slippery']], [103201, ['walk', 'ice']], [103204, ['juneau']], [103205, ['airport']]]"
mahabaleshwar,"[[103213, ['citrus', 'chambers', 'mahabaleshwar']], [103214, ['brightland']], [103215, ['evershine', 'keys']], [103216, ['bella', 'vista']], [103217, ['venna']], [103218, ['pratapgarh']], [103219, ['bombay']], [103220, ['lingamala', 'falls', 'mahabaleshwar']], [103221, ['mahabaleshwar']], [103222, ['elephants', 'head']], [103223, ['strawberry', 'farm', 'mahabaleshwar']]]"
ahmedabad,"[[103224, []], [103226, []], [103227, ['marine', 'species', 'customers', 'watch', 'dine']], [103228, ['served']]]"
"dudhsagar,goa","[[103235, ['dudhsagar']]]"
